"","track_name","lyrics"
"30","End Game","i wanna be your end game i wanna be your first string i wanna be your a team woah woah woah i wanna be your end game end game big reputation big reputation ooh you and me we got big reputations ah and you heard about me ooh i got some big enemies yeah big reputation big reputation ooh you and me would be a big conversation ah git git and i heard about you ooh yeah you like the bad ones too you so dope don t overdose i m so stoked i need a toast we do the most i m in the ghost like i m whippin a boat boat boat boat i got a reputation girl that don t precede me yeah i m one call away whenever you need me yeah i m in a g5 yeah come to the a side yeah i got a bad boy persona that s what they like that s what they like you love it i love it too cause you my type you my type you hold me down and i protect you with my life my life my life i don t wanna touch you i don t wanna be just another ex love you don t wanna see i don t wanna miss you i don t wanna miss you like the other girls do i don t wanna hurt you i just wanna be drinking on a beach with you all over me i know what they all say i know what they all say but i ain t tryna play i wanna be your end game end game i wanna be your first string first string i wanna be your a team a team i wanna be your end game end game knew her when i was young reconnected when we were little bit older both sprung i got issues and chips on both of my shoulders reputation precedes me in rumors i m knee deep the truth is it s easier to ignore it believe me even when we d argue we d not do it for long and you understand the good and bad end up in the song for all your beautiful traits and the way you do it with ease for all my flaws paranoia and insecurities i ve made mistakes and made some choices that s hard to deny after the storm something was born on the 4th of july i ve passed days without fun this end game is the one with four words on the tip of my tongue i ll never say it i don t wanna touch you i don t wanna be just another ex love you don t wanna see i don t wanna miss you i don t wanna miss you like the other girls do i don t wanna hurt you i just wanna be drinking on a beach with you all over me i know what they all say yeah but i ain t tryna play i wanna be your end game end game i wanna be your first string wanna be your first string i wanna be your a team a team i wanna be your end game end game big reputation big reputation ooh you and me we got big reputations ah and you heard about me ooh i got some big enemies hey big reputation big reputation yeah ooh you and me would be a big conversation ah and i heard about you ooh you like the bad ones too i hit you like bang we tried to forget it but we just couldn t and i bury hatchets but i keep maps of where i put em reputation precedes me they told you i m crazy i swear i don t love the drama it loves me and i can t let you go your handprints on my soul it s like your eyes are liquor it s like your body is gold you ve been callin my bluff on all my usual tricks ooh so here s the truth from my red lips ah i wanna be your end game end game i wanna be your first string me and you first string i wanna be your a team be your a team now a team i wanna be your end game end game i wanna be your end game oh i do i wanna be your first string first string i wanna be your a team a team i wanna be your end game end game"
"31","Everything Has Changed"," you good to go all i knew this morning when i woke is i know something now know something now i didn t before and all i ve seen since 18 hours ago is green eyes and freckles and your smile in the back of my mind making me feel like i just wanna know you better know you better know you better now i just wanna know you better know you better know you better now i just wanna know you better know you better know you better now i just wanna know you know you know you cause all i know is we said hello and your eyes look like coming home all i know is a simple name and everything has changed all i know is you held the door you ll be mine and i ll be yours all i know since yesterday is everything has changed and all my walls stood tall painted blue and i ll take em down take em down and open up the door for you and all i feel in my stomach is butterflies the beautiful kind making up for lost time taking flight making me feel right i just wanna know you better know you better know you better now i just wanna know you better know you better know you better now i just wanna know you better know you better know you better now i just wanna know you know you know you cause all i know is we said hello and your eyes look like coming home all i know is a simple name and everything has changed all i know is you held the door you ll be mine and i ll be yours all i know since yesterday is everything has changed come back and tell me why i m feeling like i ve missed you all this time and meet me there tonight and let me know that it s not all in my mind i just wanna know you better know you better know you better now i just wanna know you know you know you cause all i know is we said hello and your eyes look like coming home all i know is a simple name and everything has changed all i know is you held the door you ll be mine and i ll be yours all i know since yesterday is everything has changed all i know is we said hello so dust off your highest hopes all i know is pouring rain and everything has changed all i know is a new found grace all my days i ll know your face all i know since yesterday is everything has changed"
"32","False God","we were crazy to think crazy to think that this could work remember how i said i d die for you we were stupid to jump in the ocean separating us remember how i d fly to you and i can t talk to you when you re like this staring out the window like i m not your favorite town i m new york city i still do it for you babe they all warned us about times like this they say the road gets hard and you get lost when you re led by blind faith blind faith but we might just get away with it religion s in your lips even if it s a false god we d still worship we might just get away with it the altar is my hips even if it s a false god we d still worship this love we d still worship this love we d still worship this love i know heaven s a thing i go there when you touch me honey hell is when i fight with you but we can patch it up good make confessions and we re begging for forgiveness got the wine for you and you can t talk to me when i m like this daring you to leave me just so i can try and scare you you re the west village you still do it for me babe they all warned us about times like this they say the road gets hard and you get lost when you re led by blind faith blind faith but we might just get away with it religion s in your lips even if it s a false god we d still worship we might just get away with it the altar is my hips even if it s a false god we d still worship this love we d still worship this love we d still worship this love ah still worship this love even if it s a false god even if it s a false god still worship this love"
"33","Fearless","there s something bout the way the street looks when it s just rained there s a glow off the pavement you walk me to the car and you know i wanna ask you to dance right there in the middle of the parking lot yeah oh yeah we re driving down the road i wonder if you know i m trying so hard not to get caught up now but you re just so cool run your hands through your hair absentmindedly making me want you and i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless so baby drive slow til we run out of road in this one horse town i wanna stay right here in this passenger s seat you put your eyes on me in this moment now capture it remember it cause i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless well you stood there with me in the doorway my hands shake i m not usually this way but you pull me in and i m a little more brave it s the first kiss it s flawless really something it s fearless oh yeah cause i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless cause i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless oh oh oh yeah"
"34","Fearless (Taylor’s Version)","there s something bout the way the street looks when it s just rained there s a glow off the pavement you walk me to the car and you know i wanna ask you to dance right there in the middle of the parking lot yeah oh yeah we re driving down the road i wonder if you know i m trying so hard not to get caught up now but you re just so cool run your hands through your hair absent mindedly making me want you and i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fеarless so baby drive slow til we run out of road in this onе horse town i wanna stay right here in this passenger s seat you put your eyes on me in this moment now capture it remember it cause i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless oh oh well you stood there with me in the doorway my hands shake i m not usually this way but you pull me in and i m a little more brave it s the first kiss it s flawless really something it s fearless oh yeah cause i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless cause i don t know how it gets better than this you take my hand and drag me head first fearless and i don t know why but with you i d dance in a storm in my best dress fearless oh oh oh oh yeah"
"35","Fifteen","you take a deep breath and you walk through the doors it s the mornin of your very first day you say hi to your friends you ain t seen in a while try and stay out of everybody s way it s your freshman year and you re gonna be here for the next four years in this town hopin one of those senior boys will wink at you and say you know i haven t seen you around before cause when you re fifteen and somebody tells you they love you you re gonna believe them and when you re fifteen feelin like there s nothin to figure out well count to ten take it in this is life before you know who you re gonna be fifteen you sit in class next to a redhead named abigail and soon enough you re best friends laughin at the other girls who think they re so cool we ll be outta here as soon as we can and then you re on your very first date and he s got a car and you re feelin like flyin and your mama s waitin up and you re thinkin he s the one and you re dancin round your room when the night ends when the night ends cause when you re fifteen and somebody tells you they love you you re gonna believe them and when you re fifteen and your first kiss makes your head spin round but in your life you ll do things greater than dating the boy on the football team but i didn t know it at fifteen when all you wanted was to be wanted wish you could go back and tell yourself what you know now back then i swore i was gonna marry him someday but i realized some bigger dreams of mine and abigail gave everything she had to a boy who changed his mind and we both cried cause when you re fifteen and somebody tells you they love you you re gonna believe them and when you re fifteen don t forget to look before you fall i ve found time can heal most anything and you just might find who you re supposed to be i didn t know who i was supposed to be at fifteen la la la la la la la la la la la la la la la la la la la la la la la la la la your very first day take a deep breath girl take a deep breath as you walk through the doors"
"36","Fifteen (Taylor’s Version)","you take a deep breath and you walk through the doors it s the mornin of your very first day you say hi to your friends you ain t seen in a while try and stay out of everybody s way it s your freshman year and you re gonna be here for the next four years in this town hopin one of those senior boys will wink at you and say you know i haven t seen you around before cause when you re fifteen and somebody tells you they love you you re gonna believe them and when you re fifteen feelin like there s nothin to figure out well count to ten take it in this is life before you know who you re gonna be at fifteen you sit in class next to a redhead named abigail and soon enough you re best friends laughin at the other girls who think they re so cool we ll be outta here as soon as we can and then you re on your very first date and he s got a car and you re feelin like flyin and your mama s waitin up and you re thinkin he s the one and you re dancin round your room when the night ends when the night ends cause when you re fifteen and somebody tells you they love you you re gonna believe them and when you re fifteen and your first kiss makes your head spin around well in your life you ll do things greater than datin the boy on the football team i didn t know it at fifteen when all you wanted was to be wanted wish you could go back and tell yourself what you know now back then i swore i was gonna marry him someday but i realized some bigger dreams of mine and abigail gave everything she had to a boy who changed his mind and we both cried cause when you re fifteen and somebody tells you they love you you re gonna believe them and when you re fifteen don t forget to look before you fall but i ve found time can heal most anything and you just might find who you re supposed to be i didn t know who i was supposed to be at fifteen la la la la la la la la la la la la la la la la la la la la la la la la la la your very first day take a deep breath girl take a deep breath as you walk through the doors"
"37","Forever & Always","once upon a time i believe it was a tuesday when i caught your eye and we caught onto something i hold onto the night you looked me in the eye and told me you loved me were you just kidding cause it seems to me this thing is breaking down we almost never speak i don t feel welcome anymore baby what happened please tell me cause one second it was perfect now you re halfway out the door and i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when he said forever and always oh and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always was i out of line did i say something way too honest made you run and hide like a scared little boy i looked into your eyes thought i knew you for a minute now i m not so sure so here s to everything coming down to nothing here s to silence that cuts me to the core where is this going thought i knew for a minute but i don t anymore and i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when he said forever and always oh and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always you didn t mean it baby i don t think so oh back up baby back up did you forget everything back up baby back up did you forget everything cause it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always oh i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when we said forever and always and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always you didn t mean it baby you said forever and always yeah"
"38","Forever & Always (Taylor’s Version)","once upon a time i believe it was a tuesday when i caught your eye and we caught onto something i hold onto the night you looked me in the eye and told me you loved me were you just kidding cause it seems to me this thing is breaking down we almost never speak i don t feel welcome anymore baby what happened please tell me cause one second it was perfect now you re halfway out the door and i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when he said forever and always oh and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always was i out of line did i say something way too honest made you run and hide like a scared little boy i looked into your eyes thought i knew you for a minute now i m not so sure so here s to everything coming down to nothing here s to silence that cuts me to the core where is this going thought i knew for a minute but i don t anymore and i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when he said forever and always oh and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always you didn t mean it baby i don t think so oh back up baby back up did you forget everything back up baby back up did you forget everything cause it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always oh i stare at the phone he still hasn t called and then you feel so low you can t feel nothing at all and you flashback to when we said forever and always and it rains in your bedroom everything is wrong it rains when you re here and it rains when you re gone cause i was there when you said forever and always you didn t mean it baby you said forever and always yeah"
"39","Getaway Car","no nothing good starts in a getaway car it was the best of times the worst of crimes i struck a match and blew your mind but i didn t mean it and you didn t see it the ties were black the lies were white in shades of gray in candlelight i wanted to leave him i needed a reason x marks the spot where we fell apart he poisoned the well i was lyin to myself i knew it from the first old fashioned we were cursed we never had a shotgun shot in the dark oh you were drivin the getaway car we were flyin but we d never get far don t pretend it s such a mystery think about the place where you first met me ridin in a getaway car there were sirens in the beat of your heart should ve known i d be the first to leave think about the place where you first met me in a getaway car oh oh oh no they never get far oh oh ah no nothing good starts in a getaway car it was the great escape the prison break the light of freedom on my face but you weren t thinkin and i was just drinkin while he was runnin after us i was screamin go go go but with three of us honey it s a sideshow and a circus ain t a love story and now we re both sorry we re both sorry x marks the spot where we fell apart he poisoned the well every man for himself i knew it from the first old fashioned we were cursed it hit you like a shotgun shot to the heart oh you were drivin the getaway car we were flyin but we d never get far don t pretend it s such a mystery think about the place where you first met me ridin in a getaway car there were sirens in the beat of your heart should ve known i d be the first to leave think about the place where you first met me in a getaway car oh oh oh no they never get far oh oh ah no nothing good starts in a getaway car we were jet set bonnie and clyde oh oh until i switched to the other side to the other side it s no surprise i turned you in oh oh cause us traitors never win i m in a getaway car i left you in a motel bar put the money in a bag and i stole the keys that was the last time you ever saw me oh drivin the getaway car we were flyin but we d never get far don t pretend don t pretend it s such a mystery think about the place where you first met me ridin in a getaway car there were sirens in the beat of your heart should ve known should ve known i d be the first to leave think about the place where you first met me in a getaway car oh oh oh no they never get far oh oh ah no nothing good starts in a getaway car i was ridin in a getaway car i was cryin in a getaway car i was dyin in a getaway car said goodbye in a getaway car ridin in a getaway car i was cryin in a getaway car i was dyin in a getaway car said goodbye in a getaway car"
"40","Glitch","we were supposed to be just friends you don t live in my part of town but maybe i ll see you out some weekend depending on what kind of mood and situationship i m in and what s in my system i think there s been a glitch oh yeah five seconds later i m fastening myself to you with a stitch oh yeah and i m not even sorry nights are so starry blood moonlit it must be counterfeit i think there s been a glitch oh yeah i was supposed to sweat you out in search of glorious happenings of happenstance on someone else s playground but it s been two thousand one hundred ninety days of our love blackout our love is blacking out the system s breaking down the system s breaking down i think there s been a glitch oh yeah five seconds later i m fastening myself to you with a stitch oh yeah and i m not even sorry nights are so starry blood moonlit it must be counterfeit i think there s been a glitch a brief interruption a slight malfunction i d go back to wanting dudes who give nothing i thought we had no chance and that s romance let s dance glitch oh yeah five seconds later i m fastening myself to you with a stitch oh yeah and i m not even sorry nights are so starry blood moonlit it must be counterfeit it must be counterfeit i think there s been a glitch"
"41","Gorgeous","gorgeous you should take it as a compliment that i got drunk and made fun of the way you talk you should think about the consequence of your magnetic field being a little too strong and i got a boyfriend he s older than us he s in the club doin i don t know what you re so cool it makes me hate you so much i hate you so much whisky on ice sunset and vine you ve ruined my life by not being mine you re so gorgeous i can t say anything to your face cause look at your face gorgeous and i m so furious at you for making me feel this way but what can i say you re gorgeous you should take it as a compliment that i m talking to everyone here but you but you but you and you should think about the consequence of you touching my hand in a darkened room dark room dark room if you ve got a girlfriend i m jealous of her but if you re single that s honestly worse cause you re so gorgeous it actually hurts honey it hurts ocean blue eyes looking in mine i feel like i might sink and drown and die you re so gorgeous i can t say anything to your face to your face cause look at your face look at your face gorgeous and i m so furious at you for making me feel this way feel this way but what can i say you re gorgeous you make me so happy it turns back to sad there s nothing i hate more than what i can t have and you are so gorgeous it makes me so mad mmh you make me so happy it turns back to sad yeah there s nothing i hate more than what i can t have and guess i ll just stumble on home to my cats yeugh alone unless you wanna come along oh you re so gorgeous i can t say anything to your face to your face cause look at your face look at your face gorgeous and i m so furious i m so furious at you for making me feel this way feel this way but what can i say i say you re gorgeous you make me so happy it turns back to sad yeah there s nothing i hate more than what i can t have and you are so gorgeous it makes me so mad mmh you re gorgeous you make me so happy it turns back to sad it turns back to sad there s nothing i hate more than what i can t have what i can t have you are so gorgeous it makes me so mad mmh you re gorgeous"
"42","Haunted","you and i walk a fragile line i have known it all this time but i never thought i d live to see it break it s getting dark and it s all too quiet and i can t trust anything now and it s coming over you like it s all a big mistake woah holding my breath won t lose you again something s made your eyes go cold come on come on don t leave me like this i thought i had you figured out something s gone terribly wrong you re all i wanted come on come on don t leave me like this i thought i had you figured out can t breathe whenever you re gone can t turn back now i m haunted stood there and watched you walk away from everything we had but i still mean every word i said to you he will try to take away my pain and he just might make me smile but the whole time i m wishing he was you instead oh holding my breath won t see you again something keeps me holding onto nothing come on come on don t leave me like this i thought i had you figured out something s gone terribly wrong you re all i wanted come on come on don t leave me like this i thought i had you figured out can t breathe whenever you re gone can t turn back now i m haunted i know i know i just know you re not gone you can t be gone no come on come on don t leave me like this i thought i had you figured out something s gone terribly wrong won t finish what you started come on come on don t leave me like this i thought i had you figured out can t breathe whenever you re gone i can t go back i m haunted oh oh oh oh oh oh oh you and i walk a fragile line i have known it all this time never ever thought i d see it break never thought i d see it"
"43","Hey Stephen","mmm mm mm mm mmm mm mm mm mmm mm mm mm yeah hey stephen i know looks can be deceiving but i know i saw a light in you and as we walked we were talking i didn t say half the things i wanted to of all the girls tossing rocks at your window i ll be the one waiting there even when it s cold hey stephen boy you might have me believing i don t always have to be alone cause i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself hey stephen i ve been holding back this feeling so i got some things to say to you ha i ve seen it all so i thought but i never seen nobody shine the way you do the way you walk way you talk way you say my name it s beautiful wonderful don t you ever change hey stephen why are people always leaving i think you and i should stay the same cause i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself they re dimming the street lights you re perfect for me why aren t you here tonight i m waiting alone now so come on and come out and pull me near and shine shine shine hey stephen i could give you fifty reasons why i should be the one you choose all those other girls well they re beautiful but would they write a song for you ha ha i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself myself can t help myself i can t help myself"
"44","Hey Stephen (Taylor’s Version)","mmm mm mm mm mmm mm mm mm mmm mm mm mm yeah hey stephen i know looks can be deceiving but i know i saw a light in you and as we walked we were talking i didn t say half the things i wanted to of all the girls tossing rocks at your window i ll be the one waiting there even when it s cold hey stephen boy you might have me believing i don t always have to be alone cause i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself hey stephen i ve been holding back this feeling so i ve got some things to say to you huh i ve seen it all so i thought but i never seen nobody shine the way you do the way you walk way you talk way you say my name it s beautiful wonderful don t you ever change hey stephen why are people always leaving i think you and i should stay the same cause i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself they re dimming the street lights you re perfect for me why aren t you here tonight i m waiting alone now so come on and come out and pull me near and shine shine shine hey stephen i could give you fifty reasons why i should be the one you choose all those other girls well they re beautiful but would they write a song for you ha ha ha i can t help it if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself if you look like an angel can t help it if i wanna kiss you in the rain so come feel this magic i ve been feeling since i met you can t help it if there s no one else mmm i can t help myself ah uh myself mmm mm i can t help myself i can t help myself oh oh oh mmm mm mm mm mmm mm mm mm mmm mm mm mm"
"45","High Infidelity","lock broken slur spoken wound open game token i didn t know you were keeping count rain soaking blind hoping you said i was freeloading i didn t know you were keeping count high infidelity put on your records and regret me i bent the truth too far tonight i was dancing around dancing around it high infidelity put on your headphones and burn my city your picket fence is sharp as knives i was dancing around dancing around it do you really wanna know where i was april 29th do i really have to chart the constellations in his eyes storm coming good husband bad omen dragged my feet right down the aisle at the house lonely good money i d pay if you d just know me seemed like the right thing at the time you know there s many different ways that you can kill the one you love the slowest way is never loving them enough do you really wanna know where i was april 29th do i really have to tell you how he brought me back to life high infidelity put on your records and regret me i bent the truth too far tonight i was dancing around dancing around it high infidelity put on your headphones and burn my city your picket fence is sharp as knives i was dancing around dancing around it do you really want to know where i was april 29th do i really have to chart the constellations in his eyes you know there s many different ways that you can kill the one you love the slowest way is never loving them enough high infidelity put on your records and regret meeting me i bent the truth too far tonight i was dancing around dancing around it high infidelity put on your headphones and burn my city your picket fence is sharp as knives i was dancing around dancing around it oh there s many different ways that you can kill the one you love and it s never enough it s never enough lock broken slur spoken wound open game token i didn t know you were keeping count rain soaking blind hoping you said i was freeloading i didn t know you were keeping count but oh you were keeping count"
"46","Holy Ground","i was reminiscing just the other day while having coffee all alone and lord it took me away back to a first glance feeling on new york time back when you fit in my poems like a perfect rhyme took off faster than a green light go hey you skip the conversation when you already know i left a note on the door with a joke we d made and that was the first day and darling it was good never looking down and right there where we stood was holy ground spinning like a girl in a brand new dress we had this big wide city all to ourselves we blocked the noise with the sound of i need you and for the first time i had something to lose and i guess we fell apart in the usual way and the story s got dust on every page but sometimes i wonder how you think about it now and i see your face in every crowd cause darling it was good never looking down and right there where we stood was holy ground tonight i m gonna dance for all that we ve been through but i don t wanna dance if i m not dancing with you tonight i m gonna dance like you were in this room but i don t wanna dance if i m not dancing with you it was good never looking down and right there where we stood was holy ground tonight i m gonna dance for all that we ve been through but i don t wanna dance if i m not dancing with you tonight i m gonna dance like you were in this room but i don t wanna dance if i m not dancing with you"
"47","How You Get The Girl","oh oh oh oh oh oh oh oh oh oh stand there like a ghost shaking from the rain rain she ll open up the door and say are you insane say it s been a long six months and you were too afraid to tell her what you want want and that s how it works that s how you get the girl and then you say i want you for worse or for better i would wait forever and ever broke your heart i ll put it back together i would wait forever and ever and that s how it works that s how you get the girl girl oh oh oh and that s how it works that s how you get the girl girl remind her how it used to be be yeah yeah with pictures in frames of kisses on cheeks cheeks tell her how you must have lost your mind ooh ooh when you left her all alone and never told her why why and that s how it works that s how you lost the girl and now you say i want you for worse or for better i would wait forever and ever ever and ever broke your heart i ll put it back together i would wait forever and ever and that s how it works that s how you get the girl girl oh oh oh oh and that s how it works that s how you get the girl girl yeah yeah and you know oh oh oh oh oh oh oh oh oh oh that i don t want you to go oh oh remind me how it used to be pictures in frames of kisses on cheeks and say you want me yeah yeah and then you say i want you for worse or for better worse or for better i would wait forever and ever ever and ever broke your heart i ll put it back together i want you forever and ever i would wait forever and ever and that s how it works that s how you get the girl girl this is how it works and that s how it works that s how you get the girl girl get the girl that s how it works and that s how it works that s how you get the girl girl oh oh oh oh oh oh oh oh oh oh and that s how it works that s how you get the girl girl oh oh oh oh oh oh oh oh oh oh and that s how it works that s how you got the girl"
"48","I Almost Do","i bet this time of night you re still up i bet you re tired from a long hard week i bet you re sittin in your chair by the window looking out at the city and i bet sometimes you wonder bout me and i just wanna tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i don t i almost do i almost do i bet you think i either moved on or hate you cause each time you reach out there s no reply i bet it never ever occurred to you that i can t say hello to you and risk another goodbye and i just wanna tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i don t i almost do i almost do oh we made quite a mess babe it s probably better off this way and i confess babe in my dreams you re touching my face and asking me if i want to try again with you and i almost do and i just wanna tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i don t i almost do i almost do i bet this time of night you re still up i bet you re tired from a long hard week i bet you re sittin in your chair by the window looking out at the city and i hope sometimes you wonder bout me"
"49","I Did Something Bad","i never trust a narcissist but they love me so i play em like a violin and i make it look oh so easy cause for every lie i tell them they tell me three this is how the world works now all he thinks about is me i can feel the flames on my skin crimson red paint on my lips if a man talks shit then i owe him nothing i don t regret it one bit cause he had it coming they say i did something bad then why s it feel so good they say i did something bad but why s it feel so good most fun i ever had and i d do it over and over and over again if i could it just felt so good good ra di di di di di di di di di da da ra di di di di di di di di di da da ra di di di di di di di di di da da da da da da i never trust a playboy but they love me so i fly em all around the world and i let them think they saved me they never see it comin what i do next this is how the world works you gotta leave before you get left i can feel the flames on my skin he says don t throw away a good thing but if he drops my name then i owe him nothin and if he spends my change then he had it comin they say i did something bad oh then why s it feel so good they say i did something bad but why s it feel so good most fun i ever had and i d do it over and over and over again if i could it just felt so good good ra di di di di di di di di di da da ra di di di di di di di di di da da it just felt so good ra di di di di di di di di di da da da da da da they re burning all the witches even if you aren t one they got their pitchforks and proof their receipts and reasons they re burning all the witches even if you aren t one so light me up light me up light me up light me up light me up go ahead and light me up light me up light me up light me up light me up light me up light me up light me up light me up they say i did something bad oh then why s it feel so good so good they say i did something bad but why s it feel so good good most fun i ever had most fun i ever had and i d do it over and over and over again if i could it just felt so good good good ra di di di di di di di di di da da ra di di di di di di di di di da da ra di di di di di di di di di da da da da da da oh you say i did something bad you say i did something bad why s it feel so good good so bad why s it feel so good why s it feel why s it feel so good bad it just felt so good good"
"50","I Forgot That You Existed","how many days did i spend thinking bout how you did me wrong wrong wrong lived in the shade you were throwing til all of my sunshine was gone gone gone and i couldn t get away from ya in my feelings more than drake so yeah your name on my lips tongue tied free rent living in my mind but then something happened one magical night i forgot that you existed and i thought that it would kill me but it didn t and it was so nice so peaceful and quiet i forgot that you existed it isn t love it isn t hate it s just indifference i forgot that you got out some popcorn as soon as my rep started going down down down laughed on the school yard as soon as i tripped up and hit the ground ground ground and i would ve stuck around for ya would ve fought the whole town so yeah would ve been right there front row even if nobody came to your show but you showed who you are then one magical night i forgot that you existed and i thought that it would kill me but it didn t and it was so nice so peaceful and quiet i forgot that you existed it isn t love it isn t hate it s just indifference i forgot that you sent me a clear message taught me some hard lessons i just forget what they were it s all just a blur i forgot that you existed and i thought that it would kill me but it didn t and it was so nice so peaceful and quiet i forgot that you existed i did i did i did it isn t hate it s just indifference it isn t love it isn t hate it s just indifference so yeah"
"51","I Heart ?","wish i had concentrated they said love was complicated but it s something i just fell into and it was overrated but just look what i ve created i came out alive but i m black and blue before you ask me if i m alright think about what i had to do yeah wake up and smell the breakup fix my heart put on my makeup another mess i didn t plan and i ll bet you thought you d beat me wish you could only see i got an i heart question mark written on the back of my hand i d be fine if you just walked by but you had to talk about why you were wrong and i was right but i can t believe you made me sit at home cry like a baby wait right by the phone every night and now you ask about you and i there s no you and i remember what you put me through i had to wake up and smell the breakup fix my heart put on my makeup another mess i didn t plan and i ll bet you thought you d beat me wish you could only see i got an i heart question mark written on the back of my hand and when you re home all alone at night you ll still wonder why you took everything i had oh baby i haven t thought about you and i there s no you and i and i know someday you will wake up and smell the breakup realize that we won t make up it didn t go the way you planned and you ll know you didn t beat me when you look down and see i got an i heart question mark written on the back of my hand written on the back of my hand an i heart question mark yeah written on the back of my hand"
"52","I Know Places","i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i you stand with your hand on my waistline it s a scene and we re out here in plain sight i can hear them whisper as we pass by it s a bad sign bad sign something happens when everybody finds out see the vultures circling dark clouds love s a fragile little flame it could burn out it could burn out cause they got the cages they got the boxes and guns they are the hunters we are the foxes and we run baby i know places we won t be found and they ll be chasing their tails trying to track us down cause i i know places we can hide i know places i know places lights flash and we ll run for the fences let them say what they want we won t hear it loose lips sink ships all the damn time not this time just grab my hand and don t ever drop it my love they are the hunters we are the foxes and we run baby i know places we won t be found and they ll be chasing their tails trying to track us down cause i i know places we can hide i know places they are the hunters we are the foxes and we run just grab my hand and don t ever drop it my love baby i know places we won t be found and they ll be chasing their tails trying to track us down cause i i know places we can hide i know places they take their shots but we re bulletproof i know places and you know for me it s always you i know places in the dead of night your eyes so green i know places and i know for you it s always me i know places i i i i i i i i i i i i i i i i i i"
"53","Innocent","i guess you really did it this time left yourself in your war path lost your balance on a tightrope lost your mind trying to get it back wasn t it easier in your lunchbox days always a bigger bed to crawl into wasn t it beautiful when you believed in everything and everybody believed in you it s alright just wait and see your string of lights are still bright to me oh who you are is not where you ve been you re still an innocent you re still an innocent did some things you can t speak of but at night you live it all again you wouldn t be shattered on the floor now if only you had seen what you know now then wasn t it easier in your firefly catching days when everything out of reach someone bigger brought down to you wasn t it beautiful running wild til you fell asleep before the monsters caught up to you it s alright just wait and see your string of lights are still bright to me oh who you are is not where you ve been you re still an innocent it s okay and life is a tough crowd thirty two and still growing up now who you are is not what you did you re still an innocent time turns flames to embers you ll have new septembers every one of us has messed up too ooh minds change like the weather i hope you remember today is never too late to be brand new oh it s alright just wait and see your string of lights is still bright to me oh who you are is not where you ve been you re still an innocent it s okay and life is a tough crowd thirty two and still growing up now who you are is not what you did you re still an innocent you re still an innocent lost your balance on a tightrope oh it s never too late to get it back"
