"","track_name","lyrics"
"11","Better Than Revenge","now go stand in the corner and think about what you did ha time for a little revenge the story starts when it was hot and it was summer and i had it all i had him right there where i wanted him she came along got him alone and let s hear the applause she took him faster than you can say sabotage i never saw it coming wouldn t have suspected it i underestimated just who i was dealing with she had to know the pain was beating on me like a drum she underestimated just who she was stealing from she s not a saint and she s not what you think she s an actress woah she s better known for the things that she does on the mattress woah soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha she looks at life like it s a party and she s on the list she looks at me like i m a trend and she s so over it i think her ever present frown is a little troubling and she thinks i m psycho cause i like to rhyme her name with things but sophistication isn t what you wear or who you know or pushing people down to get you where you wanna go oh they didn t teach you that in prep school so it s up to me but no amount of vintage dresses gives you dignity think about what you did she s not a saint and she s not what you think she s an actress woah she s better known for the things that she does on the mattress woah soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha i m just another thing for you to roll your eyes at honey you might have him but haven t you heard i m just another thing for you to roll your eyes at honey you might have him but i always get the last word woah woah ah oh she s not a saint and she s not what you think she s an actress woah she deserved it she s better known for the things that she does on the mattress woah soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge do you still feel like you know what you re doing cause i don t think you do oh no no no no do you still feel like you know what you re doing no i don t think you do i don t think you do let s hear the applause come on come on come on show me how much better you are so much better yeah see you deserve some applause cause you re so much better she took him faster than you could say sabotage "
"12","Bigger Than The Whole Sky","no words appear before me in the aftermath salt streams out my eyes and into my ears every single thing i touch becomes sick with sadness cause it s all over now all out to sea goodbye goodbye goodbye you were bigger than the whole sky you were more than just a short time and i ve got a lot to pine about i ve got a lot to live without i m never gonna meet what could ve been would ve been what should ve been you what could ve been would ve been you did some bird flap its wings ovеr in asia did some force take you bеcause i didn t pray every single thing to come has turned into ashes cause it s all over it s not meant to be so i ll say words i don t believe goodbye goodbye goodbye you were bigger than the whole sky you were more than just a short time and i ve got a lot to pine about i ve got a lot to live without i m never gonna meet what could ve been would ve been what should ve been you what could ve been would ve been you what could ve been would ve been what should ve been you what could ve been would ve been you what could ve been would ve been you goodbye goodbye goodbye you were bigger than the whole sky you were more than just a short time and i ve got a lot to pine about i ve got a lot to live without i m never gonna meet what could ve been would ve been what should ve been you"
"13","Blank Space","nice to meet you where you been i could show you incredible things magic madness heaven sin saw you there and i thought oh my god look at that face you look like my next mistake love s a game wanna play ayy new money suit and tie i can read you like a magazine ain t it funny rumors fly and i know you heard about me so hey let s be friends i m dying to see how this one ends grab your passport and my hand i can make the bad guys good for a weekend so it s gonna be forever or it s gonna go down in flames you can tell me when it s over mm if the high was worth the pain got a long list of ex lovers they ll tell you i m insane cause you know i love the players and you love the game cause we re young and we re reckless we ll take this way too far it ll leave you breathless mm or with a nasty scar got a long list of ex lovers they ll tell you i m insane but i ve got a blank space baby and i ll write your name cherry lips crystal skies i could show you incredible things stolen kisses pretty lies you re the king baby i m your queen find out what you want be that girl for a month wait the worst is yet to come oh no screaming crying perfect storms i can make all the tables turn rose garden filled with thorns keep you second guessing like oh my god who is she i get drunk on jealousy but you ll come back each time you leave cause darling i m a nightmare dressed like a daydream so it s gonna be forever or it s gonna go down in flames you can tell me when it s over mm if the high was worth the pain got a long list of ex lovers they ll tell you i m insane cause you know i love the players and you love the game cause we re young and we re reckless oh we ll take this way too far it ll leave you breathless oh oh mm or with a nasty scar got a long list of ex lovers they ll tell you i m insane insane but i ve got a blank space baby and i ll write your name boys only want love if it s torture don t say i didn t say i didn t warn ya boys only want love if it s torture don t say i didn t say i didn t warn ya so it s gonna be forever or it s gonna go down in flames you can tell me when it s over over mm if the high was worth the pain got a long list of ex lovers they ll tell you i m insane i m insane cause you know i love the players and you love the game and you love the game cause we re young and we re reckless yeah we ll take this way too far ooh it ll leave you breathless mm or with a nasty scar with a nasty scar got a long list of ex lovers they ll tell you i m insane but i ve got a blank space baby and i ll write your name"
"14","Breathe","i see your face in my mind as i drive away cause none of us thought it was gonna end that way people are people and sometimes we change our minds but it s killing me to see you go after all this time music starts playing like the end of a sad movie it s the kind of ending you don t really wanna see cause it s tragedy and it ll only bring you down now i don t know what to be without you around and we know it s never simple never easy never a clean break no one here to save me you re the only thing i know like the back of my hand and i can t breathe without you but i have to breathe without you but i have to never wanted this never wanna see you hurt every little bump in the road i tried to swerve but people are people and sometimes it doesn t work out nothing we say is gonna save us from the fall out and we know it s never simple never easy never a clean break no one here to save me you re the only thing i know like the back of my hand and i can t breathe without you but i have to breathe without you but i have to it s 2 a m feeling like i just lost a friend hope you know it s not easy easy for me it s 2 a m feeling like i just lost a friend hope you know this ain t easy easy for me and we know it s never simple never easy never a clean break no one here to save me oh oh i can t breathe without you but i have to breathe without you but i have to breathe without you but i have to i m sorry i m sorry mmm i m sorry yeah yeah i m sorry i m sorry i m sorry i m sorry"
"15","Call It What You Want","my castle crumbled overnight i brought a knife to a gunfight they took the crown but it s alright all the liars are calling me one nobody s heard from me for months i m doin better than i ever was cause my baby s fit like a daydream walkin with his head down i m the one he s walking to so call it what you want yeah call it what you want to my baby s fly like a jet stream high above the whole scene loves me like i m brand new so call it what you want yeah call it what you want to all my flowers grew back as thorns windows boarded up after the storm he built a fire just to keep me warm all the drama queens taking swings all the jokers dressing up as kings they fade to nothing when i look at him and i know i make the same mistakes every time bridges burn i never learn at least i did one thing right i did one thing right i m laughing with my lover makin forts under covers trust him like a brother yeah you know i did one thing right starry eyes sparkin up my darkest night my baby s fit like a daydream walkin with his head down i m the one he s walking to so call it what you want yeah call it what you want to my baby s fly like a jet stream high above the whole scene loves me like i m brand new call it what you want call it what you want call it so call it what you want yeah call it what you want to i want to wear his initial on a chain round my neck chain round my neck not because he owns me but cause he really knows me which is more than they can say i i recall late november holding my breath slowly i said you don t need to save me but would you run away with me yes would you run away my baby s fit like a daydream walkin with his head down i m the one he s walking to call it what you want call it what you want call it so call it what you want yeah call it what you want it to call it what you want to my baby s fly like a jet stream oh high above the whole scene loves me like i m brand new call it what you want call it what you want call it so call it what you want yeah call it what you want to call it what you want call it call it what you want call it what you want call it call it what you want call it what you want call it call it what you want call it what you want call it call it what you want call it what you want call it call it what you want call it what you want call it call it what you want call it what you want call it call it what you want yeah call it what you want to"
"16","Change","and it s a sad picture the final blow hits you somebody else gets what you wanted again and you know it s all the same another time and place repeating history and you re getting sick of it but i believe in whatever you do and i ll do anything to see it through because these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution the time will come for us to finally win and we ll sing hallelujah we ll sing hallelujah oh oh so we ve been outnumbered raided and now cornered it s hard to fight when the fight ain t fair we re getting stronger now find things they never found they might be bigger but we re faster and never scared you can walk away say we don t need this but there s something in your eyes says we can beat this cause these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution the time will come for us to finally win and we ll sing hallelujah we ll sing hallelujah oh oh tonight we stand get off our knees fight for what we ve worked for all these years and the battle was long it s the fight of our lives but we ll stand up champions tonight it was the night things changed can you see it now these walls that they put up to hold us back fell down it s a revolution throw your hands up cause we never gave in and we ll sing hallelujah we sang hallelujah hallelujah"
"17","Change (Taylor’s Version)","well it s a sad picture the final blow hits you somebody else gets what you wanted again and you know it s all the same another time and place repeating history and you re getting sick of it but i believe in whatever you do and i ll do anything to see it through because these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution the time will come for us to finally win and we ll sing hallelujah we ll sing hallelujah oh oh so we ve been outnumbered raidеd and now cornered it s hard to fight when thе fight ain t fair we re getting stronger now find things they never found they might be bigger but we re faster and never scared you can walk away say we don t need this but there s something in your eyes says we can beat this cause these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution the time will come for us to finally win and we ll sing hallelujah we ll sing hallelujah oh oh tonight we ll stand get off our knees fight for what we ve worked for all these years and the battle was long it s the fight of our lives but we ll stand up champions tonight it was the night things changed can you see it now when the walls that they put up to hold us back fell down it s a revolution throw your hands up cause we never gave in and we ll sing hallelujah we sang hallelujah hallelujah"
"18","Clean","the drought was the very worst oh oh oh oh when the flowers that we d grown together died of thirst it was months and months of back and forth oh oh oh oh you re still all over me like a wine stained dress i can t wear anymore hung my head as i lost the war and the sky turned black like a perfect storm rain came pouring down when i was drowning that s when i could finally breathe and by morning gone was any trace of you i think i am finally clean oh oh oh oh there was nothing left to do oh oh oh oh when the butterflies turned to dust that covered my whole room so i punched a hole in the roof oh oh oh oh let the flood carry away all my pictures of you the water filled my lungs i screamed so loud but no one heard a thing rain came pouring down when i was drowning that s when i could finally breathe and by morning gone was any trace of you i think i am finally clean oh oh oh oh i think i am finally clean oh oh oh oh oh oh oh oh said i think i am finally clean oh oh oh oh oh oh oh oh ten months sober i must admit just because you re clean don t mean you don t miss it ten months older i won t give in now that i m clean i m never gonna risk it the drought was the very worst oh oh oh oh when the flowers that we d grown together died of thirst oh the rain came pouring down when i was drowning that s when i could finally breathe and by morning gone was any trace of you i think i am finally clean rain came pouring down when i was drowning that s when i could finally breathe and by morning gone was any trace of you i think i am finally clean oh oh finally clean think i m finally clean oh oh oh oh oh oh oh oh oh think i m finally clean"
"19","Come In With The Rain (Taylor’s Version)","i could go back to every laugh but i don t wanna go there anymore and i know all the steps up to your door but i don t wanna go there anymore talk to the wind talk to the sky talk to the man with the reasons why and let me know what you find i ll leave my window open cause i m too tired at night to call your name just know i m right here hoping that you ll come in with the rain i could stand up and sing you a song but i don t wanna have to go that far and i i ve got you down i know you by heart and you don t even know where i start talk to yourself talk to the tears talk to the man who put you here and don t wait for the sky to clear i ll leave my window open cause i m too tired at night to call your name oh just know i m right here hoping that you ll come in with the rain i ve watched you so long screamed your name i don t know what else i can say i ll leave my window open cause i m too tired at night for all these games just know i m right here hoping that you ll come in with the rain i could go back to every laugh but i don t wanna go there anymore"
"20","Cornelia Street","we were in the backseat drunk on something stronger than the drinks in the bar i rent a place on cornelia street i say casually in the car we were a fresh page on the desk filling in the blanks as we go as if the street lights pointed in an arrow head leading us home and i hope i never lose you hope it never ends i d never walk cornelia street again that s the kinda heartbreak time could never mend i d never walk cornelia street again and baby i get mystified by how this city screams your name and baby i m so terrified of if you ever walk away i d never walk cornelia street again i d never walk cornelia street again windows flung right open autumn air jacket round my shoulders is yours we bless the rains on cornelia street memorize the creaks in the floor back when we were card sharks playing games i thought you were leading me on i packed my bags left cornelia street before you even knew i was gone but then you called showed your hand i turned around before i hit the tunnel sat on the roof you and i i hope i never lose you hope it never ends i d never walk cornelia street again that s the kinda heartbreak time could never mend i d never walk cornelia street again and baby i get mystified by how this city screams your name city screams your name and baby i m so terrified of if you ever walk away i d never walk cornelia street again i d never walk cornelia street again you hold my hand on the street walk me back to that apartment years ago we were just inside barefoot in the kitchen sacred new beginnings that became my religion listen i hope i never lose you i d never walk cornelia street again oh never again and baby i get mystified by how this city screams your name city screams your name and baby i m so terrified of if you ever walk away i d never walk cornelia street again i d never walk cornelia street again i don t wanna lose you hope it never ends i d never walk cornelia street again i don t wanna lose you yeah i rent a place on cornelia street i say casually in the car"
